  ,2,3,4,5,6,7,8,9,10,11,12,13,14
12,Hit,Hit,Hit,Double,Double,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
13,Hit,Hit,Hit,Double,Double,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
14,Hit,Hit,Hit,Double,Double,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
15,Hit,Hit,Double,Double,Double,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
16,Hit,Hit,Double,Double,Double,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
17,Hit,Double,Double,Double,Double,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
18,Double,Double,Double,Double,Double,Stand,Stand,Hit,Hit,Hit,Hit,Hit,Hit
19,Stand,Stand,Stand,Stand,Double,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
20,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
21,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
